,training_iteration,ep_rew,algo
50,51,67.3355190093926,trpo
51,52,67.3355190093926,trpo
52,53,67.38653198623939,trpo
53,54,67.35431638173209,trpo
54,55,67.46445471160126,trpo
55,56,67.46445471160126,trpo
56,57,67.46445471160126,trpo
57,58,67.46445471160126,trpo
58,59,67.46445471160126,trpo
59,60,67.46445471160126,trpo
60,61,73.83006757345952,trpo
61,62,73.83006757345952,trpo
62,63,74.1646241892075,trpo
63,64,74.1646241892075,trpo
64,65,74.1646241892075,trpo
65,66,74.1646241892075,trpo
66,67,74.1646241892075,trpo
67,68,79.4143532881445,trpo
68,69,79.54732443960357,trpo
69,70,79.54732443960357,trpo
70,71,79.54732443960357,trpo
71,72,79.54732443960357,trpo
72,73,79.54732443960357,trpo
73,74,83.14542964356589,trpo
74,75,83.49604864842101,trpo
75,76,83.49604864842101,trpo
76,77,83.77359281723015,trpo
77,78,83.97533840293204,trpo
78,79,84.26281748086538,trpo
79,80,84.26281748086538,trpo
80,81,84.59338749914009,trpo
81,82,84.86357201030197,trpo
82,83,84.86357201030197,trpo
83,84,84.86357201030197,trpo
84,85,86.44219470232242,trpo
85,86,86.61146833454538,trpo
86,87,86.61146833454538,trpo
87,88,86.66991140083157,trpo
88,89,86.85695778847733,trpo
89,90,86.85695778847733,trpo
90,91,86.94063532181248,trpo
91,92,87.09266646861509,trpo
92,93,87.09266646861509,trpo
93,94,87.23683548916077,trpo
94,95,87.54787583898909,trpo
95,96,87.54787583898909,trpo
96,97,87.65432328338362,trpo
97,98,87.86947460716557,trpo
98,99,87.86947460716557,trpo
99,100,88.07416074756667,trpo
100,101,88.47858998232134,trpo
101,102,88.47858998232134,trpo
102,103,88.96955430233385,trpo
103,104,88.96955430233385,trpo
104,105,89.28803705455235,trpo
105,106,89.61945582010046,trpo
106,107,89.61945582010046,trpo
107,108,90.02145427934116,trpo
108,109,90.47385387318201,trpo
109,110,90.47385387318201,trpo
110,111,90.83810526919953,trpo
111,112,90.83810526919953,trpo
112,113,91.33637148636284,trpo
113,114,91.67849504325036,trpo
114,115,91.67849504325036,trpo
115,116,92.17205817770764,trpo
116,117,92.17205817770764,trpo
117,118,92.7717045520448,trpo
118,119,93.08553891904505,trpo
119,120,93.08553891904505,trpo
120,121,93.20232420650179,trpo
121,122,93.4685969699249,trpo
122,123,93.4685969699249,trpo
0,1,0.0,trpo
1,2,0.0,trpo
2,3,0.0,trpo
3,4,65.4145236602228,trpo
4,5,65.4145236602228,trpo
5,6,64.2583952836152,trpo
6,7,64.2583952836152,trpo
7,8,64.2583952836152,trpo
8,9,63.66949851382177,trpo
9,10,63.66949851382177,trpo
10,11,63.904391788186324,trpo
11,12,63.904391788186324,trpo
12,13,63.904391788186324,trpo
13,14,64.32670980331446,trpo
