,training_iteration,ep_rew,algo
151,152,89.08106766,baseline
152,153,89.08106766,baseline
153,154,88.49168241000002,baseline
154,155,87.20702462,baseline
155,156,86.43808682999997,baseline
156,157,86.1732964,baseline
157,158,86.1732964,baseline
158,159,86.45663988000004,baseline
159,160,86.45663988000004,baseline
160,161,86.62016099,baseline
161,162,86.97991591999998,baseline
162,163,87.11688445,baseline
163,164,87.19990580999998,baseline
164,165,87.27579166999998,baseline
165,166,87.53011473999999,baseline
166,167,87.53011473999999,baseline
167,168,87.68928660999998,baseline
168,169,87.97598185999998,baseline
169,170,88.14302566,baseline
170,171,88.14302566,baseline
171,172,88.35263216,baseline
172,173,88.66374084,baseline
173,174,88.81679051,baseline
174,175,88.88696226000002,baseline
175,176,89.05525304000004,baseline
176,177,89.38796191000002,baseline
177,178,89.38796191000002,baseline
178,179,89.61821169000002,baseline
179,180,90.05415232000001,baseline
180,181,90.24173371,baseline
181,182,90.24173371,baseline
182,183,90.61657012000002,baseline
183,184,90.90150225,baseline
184,185,91.60881736000002,baseline
185,186,91.60881736000002,baseline
186,187,91.86712791,baseline
187,188,92.15395795,baseline
188,189,92.81559942,baseline
189,190,92.81559942,baseline
190,191,92.81559942,baseline
191,192,93.26877174,baseline
192,193,93.26877174,baseline
193,194,94.79003072000002,baseline
194,195,94.79003072000002,baseline
195,196,95.28470018,baseline
196,197,95.28470018,baseline
197,198,95.69716352000002,baseline
198,199,97.60022304,baseline
199,200,97.60022304,baseline
200,201,99.19624964,baseline
201,202,99.19624964,baseline
202,203,99.86427577,baseline
203,204,99.86427577,baseline
204,205,100.70842399000004,baseline
205,206,100.70842399000004,baseline
206,207,102.52747417999998,baseline
207,208,103.00163748999998,baseline
208,209,103.35347138,baseline
209,210,103.35347138,baseline
210,211,103.67667383999998,baseline
211,212,104.01201815999998,baseline
212,213,104.01201815999998,baseline
213,214,104.47324117999996,baseline
214,215,104.47324117999996,baseline
215,216,105.53086521,baseline
216,217,105.84691947,baseline
217,218,106.3493404,baseline
218,219,106.3493404,baseline
219,220,106.3493404,baseline
220,221,106.3493404,baseline
221,222,106.3493404,baseline
222,223,107.59843469,baseline
223,224,107.59843469,baseline
224,225,110.25755261,baseline
225,226,111.38614449,baseline
226,227,111.38614449,baseline
227,228,111.38614449,baseline
228,229,111.38614449,baseline
229,230,113.53100391,baseline
230,231,112.70526731,baseline
231,232,112.70526731,baseline
232,233,112.70526731,baseline
233,234,112.70526731,baseline
234,235,113.9989571,baseline
235,236,114.66390646000002,baseline
236,237,115.42727712,baseline
237,238,115.42727712,baseline
238,239,115.42727712,baseline
239,240,115.42727712,baseline
240,241,117.13005967999996,baseline
241,242,117.13005967999996,baseline
242,243,117.13005967999996,baseline
243,244,117.13005967999996,baseline
244,245,117.27093135,baseline
0,1,64.93523175,baseline
1,2,64.26392191666666,baseline
2,3,64.14903368750001,baseline
3,4,64.11771479166667,baseline
4,5,64.03703158064518,baseline
5,6,63.99895530555556,baseline
6,7,64.05290988636364,baseline
7,8,55.638502034482755,baseline
8,9,45.8265547125,baseline
9,10,38.81803736,baseline
10,11,27.70600598,baseline
11,12,19.33395759,baseline
12,13,19.3460897,baseline
13,14,22.21407367,baseline
14,15,24.68548097,baseline
15,16,27.298118160000005,baseline
16,17,30.98983932,baseline
17,18,33.69828393,baseline
18,19,37.45134565,baseline
19,20,40.2063367,baseline
20,21,42.67021187000001,baseline
21,22,46.38358545999999,baseline
22,23,48.82179658,baseline
23,24,51.91678190999999,baseline
24,25,55.59206536,baseline
25,26,60.92100126,baseline
26,27,64.39433369,baseline
27,28,66.94150950000001,baseline
28,29,71.52097898,baseline
29,30,75.50425290000001,baseline
30,31,78.22903107,baseline
31,32,82.08401325999998,baseline
32,33,85.32090638,baseline
33,34,87.82841288000002,baseline
34,35,89.69744723000002,baseline
35,36,90.39866834,baseline
36,37,90.73406391,baseline
37,38,91.10686925999997,baseline
38,39,91.39274124,baseline
39,40,91.56646868999998,baseline
40,41,91.69078384,baseline
41,42,94.76620184,baseline
42,43,97.73705686,baseline
43,44,97.73705686,baseline
44,45,97.73705686,baseline
45,46,109.60272857,baseline
46,47,109.69667414,baseline
47,48,109.69667414,baseline
48,49,112.20516428,baseline
49,50,117.83800747,baseline
50,51,120.52753079,baseline
51,52,121.64910585,baseline
52,53,127.40531254999998,baseline
53,54,127.99157949,baseline
54,55,127.40648116,baseline
55,56,128.84733158,baseline
56,57,133.74427518000002,baseline
57,58,134.13402655,baseline
58,59,134.13402655,baseline
